=== Dataset Loaded ===
{'n_cameras': 126, 'n_points': 40037, 'n_observations': 148328, 'total_parameters': 121245, 'total_residuals': 296656}

=== Running Experiment 1: Robust Cost ===
   Iteration     Total nfev        Cost      Cost reduction    Step norm     Optimality   
      88             101        7.4556e+04      9.82e+02       6.18e+04       6.24e+04    
      89             102        7.3243e+04      1.31e+03       1.57e+05       6.60e+04    
      90             103        7.2694e+04      5.49e+02       7.51e+04       6.16e+04    
      91             104        7.2077e+04      6.17e+02       3.05e+04       4.89e+04    
      92             105        7.1232e+04      8.45e+02       6.91e+04       4.03e+04    
      93             106        6.9815e+04      1.42e+03       1.18e+05       3.68e+04    
      94             108        6.9382e+04      4.33e+02       4.72e+04       3.91e+04    
      95             109        6.8878e+04      5.04e+02       5.90e+04       3.55e+04    
      96             110        6.8223e+04      6.54e+02       2.47e+04       3.63e+04    
      97             111        6.7802e+04      4.22e+02       6.81e+04       3.40e+04    
      98             112        6.7404e+04      3.98e+02       2.72e+04       3.40e+04    
      99             113        6.6939e+04      4.64e+02       5.05e+04       3.35e+04    
      100            114        6.6397e+04      5.42e+02       9.14e+04       3.73e+04    
      101            115        6.6394e+04      3.31e+00       1.07e+05       6.02e+04    
      102            116        6.5967e+04      4.27e+02       2.91e+04       3.29e+04    
      103            117        6.5264e+04      7.03e+02       4.47e+04       3.24e+04    
      104            118        6.4954e+04      3.10e+02       1.64e+05       7.88e+04    
      105            119        6.4623e+04      3.31e+02       7.06e+04       3.15e+04    
      106            120        6.4217e+04      4.06e+02       2.41e+04       3.61e+04    
      107            121        6.3769e+04      4.48e+02       5.23e+04       3.11e+04    
      108            122        6.3490e+04      2.79e+02       6.07e+04       4.14e+04    
      109            123        6.3261e+04      2.30e+02       6.26e+04       3.06e+04    
      110            124        6.3015e+04      2.45e+02       3.07e+04       3.06e+04    
      111            125        6.2885e+04      1.30e+02       1.83e+04       3.04e+04    
      112            126        6.2628e+04      2.57e+02       3.34e+04       3.02e+04    
      113            127        6.2237e+04      3.91e+02       7.04e+04       2.98e+04    
      114            129        6.2095e+04      1.42e+02       2.39e+04       2.96e+04    
      115            130        6.1958e+04      1.36e+02       2.66e+04       2.95e+04    
      116            131        6.1749e+04      2.09e+02       3.73e+04       2.93e+04    
      117            132        6.1620e+04      1.29e+02       4.77e+04       2.90e+04    
      118            133        6.1553e+04      6.74e+01       1.41e+04       2.89e+04    
      119            134        6.1437e+04      1.16e+02       2.00e+04       2.88e+04    
      120            135        6.1276e+04      1.61e+02       3.97e+04       2.86e+04    
      121            136        6.1122e+04      1.53e+02       2.86e+04       2.87e+04    
      122            137        6.0898e+04      2.24e+02       4.09e+04       2.90e+04    
      123            139        6.0789e+04      1.09e+02       2.09e+04       2.89e+04    
      124            140        6.0659e+04      1.30e+02       4.82e+04       4.05e+04    
      125            141        6.0569e+04      9.01e+01       2.44e+04       2.94e+04    
      126            142        6.0519e+04      5.03e+01       1.16e+04       2.96e+04    
      127            143        6.0419e+04      1.00e+02       2.28e+04       2.97e+04    
      128            144        6.0250e+04      1.69e+02       4.49e+04       3.00e+04    
      129            145        6.0205e+04      4.41e+01       5.13e+04       3.01e+04    
      130            146        6.0112e+04      9.38e+01       1.33e+04       3.02e+04    
      131            147        6.0016e+04      9.53e+01       2.38e+04       3.03e+04    
      132            148        5.9827e+04      1.89e+02       4.66e+04       3.04e+04    
      133            149        5.9605e+04      2.22e+02       9.36e+04       3.06e+04    
      134            150        5.9464e+04      1.41e+02       4.86e+04       3.08e+04    
      135            151        5.9375e+04      8.92e+01       2.46e+04       3.09e+04    
      136            152        5.9197e+04      1.77e+02       4.85e+04       3.09e+04    
      137            153        5.8955e+04      2.42e+02       9.47e+04       3.10e+04    
      138            154        5.8876e+04      7.96e+01       4.71e+04       3.11e+04    
      139            155        5.8792e+04      8.38e+01       2.59e+04       3.11e+04    
      140            156        5.8625e+04      1.67e+02       4.88e+04       3.11e+04    
      141            157        5.8371e+04      2.54e+02       9.55e+04       3.11e+04    
      142            159        5.8318e+04      5.31e+01       2.23e+04       3.11e+04    
      143            160        5.8277e+04      4.05e+01       1.25e+04       3.11e+04    
      144            161        5.8196e+04      8.08e+01       2.41e+04       3.11e+04    
      145            162        5.8118e+04      7.80e+01       4.72e+04       3.12e+04    
      146            163        5.8063e+04      5.56e+01       2.21e+04       3.11e+04    
      147            164        5.8023e+04      3.95e+01       1.16e+04       3.11e+04    
      148            165        5.7944e+04      7.89e+01       2.36e+04       3.11e+04    
      149            166        5.7884e+04      6.03e+01       4.72e+04       3.11e+04    
      150            167        5.7818e+04      6.58e+01       2.14e+04       3.10e+04    
      151            168        5.7780e+04      3.86e+01       1.15e+04       3.09e+04    
      152            169        5.7703e+04      7.72e+01       2.34e+04       3.09e+04    
      153            170        5.7667e+04      3.52e+01       4.68e+04       3.09e+04    
      154            171        5.7582e+04      8.51e+01       5.28e+03       3.09e+04    
      155            172        5.7574e+04      8.14e+00       1.06e+04       3.08e+04    
      156            173        5.7555e+04      1.90e+01       5.69e+03       3.08e+04    
      157            174        5.7517e+04      3.80e+01       1.14e+04       3.08e+04    
      158            175        5.7481e+04      3.60e+01       2.31e+04       3.08e+04    
      159            176        5.7459e+04      2.18e+01       1.05e+04       3.08e+04    
      160            177        5.7441e+04      1.88e+01       5.71e+03       3.07e+04    
      161            178        5.7403e+04      3.76e+01       1.14e+04       3.07e+04    
      162            179        5.7384e+04      1.86e+01       2.30e+04       3.07e+04    
      163            180        5.7342e+04      4.23e+01       2.57e+03       3.07e+04    
      164            181        5.7338e+04      4.23e+00       6.61e+03       3.07e+04    
      165            182        5.7328e+04      9.34e+00       2.89e+03       3.07e+04    
      166            183        5.7310e+04      1.87e+01       5.69e+03       3.07e+04    
      167            184        5.7296e+04      1.39e+01       1.14e+04       3.06e+04    
      168            185        5.7282e+04      1.38e+01       5.13e+03       3.06e+04    
      169            186        5.7273e+04      9.30e+00       2.86e+03       3.06e+04    
      170            187        5.7254e+04      1.86e+01       5.68e+03       3.06e+04    
      171            188        5.7249e+04      4.83e+00       1.15e+04       3.06e+04    
      172            189        5.7228e+04      2.11e+01       1.24e+03       3.06e+04    
      173            190        5.7223e+04      5.03e+00       2.98e+03       3.06e+04    
      174            191        5.7219e+04      4.63e+00       1.42e+03       3.06e+04    
`ftol` termination condition is satisfied.
Function evaluations 191, initial cost 1.3279e+06, final cost 5.7219e+04, first-order optimality 3.06e+04.
=== Solver / Problem Metrics ===
{'final_cost': np.float64(230099.28029278497), 'residual_norm': np.float64(678.3793633252488), 'grad_norm': None, 'step_norm': None, 'mean_cam_error': np.float64(0.7260774003549085), 'median_cam_error': np.float64(0.6838825904838763), 'max_cam_error': np.float64(1.9455508840401095), 'mean_pt_error': np.float64(0.6511500235344616), 'median_pt_error': np.float64(0.450653716038244), 'max_pt_error': np.float64(172.95304449147417)}
=== Benchmarking Metrics ===
{'total_runtime': 81.38377666473389, 'total_jacobian_time': 0, 'peak_memory_mb': 3367.944192}
