iteration,iteration_time,jacobian_time,memory_mb
0,0.026352882385253906,,654.934016
1,0.020576000213623047,,779.124736
2,0.020969867706298828,,810.139648
3,0.02077007293701172,,821.362688
4,0.019870996475219727,,829.898752
5,0.017913103103637695,,836.059136
6,0.020621061325073242,,854.360064
7,0.01782393455505371,,859.3408
8,0.017525911331176758,,862.109696
9,0.017805099487304688,,872.988672
10,0.0170900821685791,,877.903872
11,0.022294044494628906,,885.178368
12,0.022201061248779297,,887.472128
13,0.017568111419677734,,890.011648
14,0.01819014549255371,,891.305984
15,0.019871950149536133,,900.923392
16,0.018140077590942383,,911.802368
17,0.01769399642944336,,916.6848
18,0.017682790756225586,,917.99552
19,0.017386913299560547,,922.861568
20,0.017526865005493164,,927.711232
21,0.017214059829711914,,935.051264
22,0.01695418357849121,,936.329216
23,0.02191901206970215,,972.029952
24,0.016978979110717773,,973.37344
25,0.01898193359375,,1031.274496
26,0.01802992820739746,,1042.432
27,0.020860910415649414,,1041.69472
28,0.019560813903808594,,1053.32736
29,0.017414093017578125,,1056.964608
30,0.01749110221862793,,1058.57024
31,0.017559051513671875,,1061.044224
32,0.01741790771484375,,1046.560768
33,0.017781972885131836,,1051.492352
34,0.01876211166381836,,1014.792192
35,0.02094411849975586,,971.276288
36,0.01840996742248535,,949.12512
37,0.01901698112487793,,966.262784
38,0.01753711700439453,,965.689344
39,0.01896500587463379,,997.605376
40,0.01750922203063965,,1006.026752
41,0.017184019088745117,,1009.713152
42,0.017221927642822266,,1015.791616
43,0.021341323852539062,,1040.54784
44,0.017638683319091797,,1033.469952
45,0.017699718475341797,,1023.033344
46,0.017574071884155273,,1028.5056
47,0.01752018928527832,,1029.832704
48,0.017016887664794922,,1031.110656
49,0.017288923263549805,,1030.979584
50,0.017427921295166016,,1120.862208
51,0.01775527000427246,,1130.184704
52,0.0172269344329834,,1131.544576
53,0.01762986183166504,,1132.838912
54,0.016907930374145508,,1137.410048
55,0.016835927963256836,,1170.178048
56,0.016909122467041016,,1173.880832
57,0.0175020694732666,,1175.158784
58,0.01737213134765625,,1177.27232
59,0.017527103424072266,,1185.792
60,0.01766490936279297,,1188.265984
61,0.017686128616333008,,1194.754048
62,0.019408226013183594,,1191.575552
63,0.016826868057250977,,1192.886272
64,0.016735076904296875,,1200.226304
65,0.01988506317138672,,1227.538432
66,0.018995046615600586,,1230.60224
67,0.017634153366088867,,1220.395008
68,0.019639015197753906,,1176.666112
69,0.017084121704101562,,1143.27552
70,0.01976799964904785,,1160.036352
71,0.017414093017578125,,1164.886016
72,0.016986846923828125,,1165.950976
73,0.01693892478942871,,1172.668416
74,0.018712997436523438,,1175.830528
75,0.017440080642700195,,1220.083712
76,0.017755746841430664,,1228.161024
77,0.017091035842895508,,1230.27456
78,0.017596006393432617,,1231.568896
79,0.017036914825439453,,1240.039424
80,0.018342971801757812,,1246.0032
81,0.017895936965942383,,1229.78304
82,0.01769876480102539,,1231.077376
83,0.017666101455688477,,1225.474048
84,0.017358064651489258,,1194.868736
85,0.017061948776245117,,1200.930816
86,0.017896175384521484,,1212.366848
87,0.017596960067749023,,1213.661184
88,0.017461061477661133,,1214.95552
89,0.01795196533203125,,1247.854592
90,0.01755499839782715,,1253.916672
91,0.017739057540893555,,1257.63584
92,0.017135143280029297,,1266.057216
93,0.017699003219604492,,1269.743616
94,0.01787590980529785,,1274.118144
95,0.0173189640045166,,1275.41248
96,0.017743825912475586,,1281.490944
97,0.019723892211914062,,1315.848192
98,0.017663955688476562,,1317.421056
99,0.01751708984375,,1318.715392
100,0.016099929809570312,,1391.4112
101,0.017393112182617188,,1406.992384
102,0.017817020416259766,,1408.28672
103,0.01741313934326172,,1409.59744
104,0.017167091369628906,,1410.891776
105,0.016996145248413086,,1412.186112
106,0.01717400550842285,,1413.480448
107,0.018938779830932617,,1417.723904
108,0.017208099365234375,,1419.01824
109,0.01770329475402832,,1427.570688
110,0.017024993896484375,,1428.865024
111,0.017702817916870117,,1444.888576
