iteration,iteration_time,jacobian_time,memory_mb
0,0.019289016723632812,,1173.651456
1,0.018601179122924805,,1396.260864
2,0.018543004989624023,,1400.17664
3,0.017640113830566406,,1404.321792
4,0.019733905792236328,,1435.795456
5,0.018805980682373047,,1441.972224
6,0.01879405975341797,,1446.281216
7,0.018819093704223633,,1447.804928
8,0.018226146697998047,,1452.949504
9,0.0181581974029541,,1454.358528
10,0.01802515983581543,,1457.422336
11,0.018045902252197266,,1465.860096
12,0.018564939498901367,,1467.154432
13,0.020529985427856445,,1360.625664
14,0.01844191551208496,,1360.789504
15,0.019893407821655273,,1374.666752
16,0.018507003784179688,,1379.565568
17,0.01896500587463379,,1397.047296
18,0.017687082290649414,,1398.800384
19,0.01809096336364746,,1403.53536
20,0.01887822151184082,,1400.684544
21,0.019381999969482422,,1405.272064
22,0.01905369758605957,,1414.660096
23,0.017567873001098633,,1411.465216
24,0.01852273941040039,,1413.496832
25,0.019915103912353516,,1503.39584
26,0.018480300903320312,,1506.295808
27,0.01845097541809082,,1507.606528
28,0.01801133155822754,,1508.933632
29,0.01874089241027832,,1519.501312
30,0.02002716064453125,,1520.795648
31,0.018531084060668945,,1522.106368
32,0.018635988235473633,,1523.417088
33,0.0196378231048584,,1530.871808
34,0.018429279327392578,,1489.616896
35,0.018928050994873047,,1492.434944
36,0.018483877182006836,,1502.33088
37,0.017881155014038086,,1502.281728
38,0.018779754638671875,,1506.443264
39,0.01835012435913086,,1508.999168
40,0.018903017044067383,,1510.309888
41,0.018963098526000977,,1521.451008
42,0.018590927124023438,,1527.56224
43,0.0185849666595459,,1530.6752
44,0.018126964569091797,,1532.002304
45,0.01826190948486328,,1535.639552
46,0.018194913864135742,,1544.306688
47,0.018049001693725586,,1548.894208
48,0.018703222274780273,,1509.474304
49,0.01863408088684082,,1519.190016
50,0.01774001121520996,,1515.995136
51,0.018680095672607422,,1508.442112
52,0.018330097198486328,,1429.880832
53,0.0229341983795166,,1430.437888
54,0.019860029220581055,,1423.44192
55,0.018405914306640625,,1408.090112
56,0.018548965454101562,,1417.084928
57,0.019271135330200195,,1418.641408
58,0.018755197525024414,,1397.342208
59,0.01837611198425293,,1398.882304
60,0.01840806007385254,,1336.901632
61,0.020676851272583008,,1304.00256
62,0.019463062286376953,,1088.63488
63,0.020579099655151367,,1003.241472
64,0.020203113555908203,,1016.414208
65,0.018555879592895508,,1023.26272
66,0.01866602897644043,,982.859776
67,0.019149065017700195,,1003.60192
68,0.01978898048400879,,1027.52256
69,0.018183231353759766,,1028.83328
70,0.017958879470825195,,1032.552448
71,0.018703699111938477,,1039.64672
72,0.01864790916442871,,1045.62688
73,0.017791032791137695,,1050.673152
74,0.01830577850341797,,1053.130752
75,0.017651081085205078,,903.512064
76,0.019856929779052734,,914.128896
77,0.018347978591918945,,919.814144
78,0.01834893226623535,,932.691968
79,0.01819920539855957,,934.019072
80,0.018411874771118164,,942.57152
81,0.018435001373291016,,943.865856
82,0.02086186408996582,,941.637632
83,0.018960237503051758,,1057.128448
84,0.017958879470825195,,1036.53376
85,0.01848006248474121,,1018.085376
86,0.018814802169799805,,1028.980736
87,0.018101930618286133,,1030.324224
88,0.017796993255615234,,1034.780672
89,0.019201993942260742,,1056.227328
90,0.0178987979888916,,1060.53632
91,0.01749396324157715,,1069.006848
92,0.018438100814819336,,1070.317568
93,0.018157005310058594,,1071.644672
94,0.01941680908203125,,1072.955392
95,0.018379926681518555,,1070.891008
96,0.01894092559814453,,858.734592
97,0.018665075302124023,,870.383616
98,0.01721787452697754,,809.811968
99,0.018748998641967773,,835.764224
100,0.017555952072143555,,839.483392
101,0.016954660415649414,,842.022912
102,0.016810178756713867,,848.19968
103,0.019009113311767578,,873.381888
104,0.01819896697998047,,875.921408
105,0.019225120544433594,,898.121728
106,0.01690816879272461,,899.497984
107,0.019921064376831055,,1010.302976
108,0.01751708984375,,1025.949696
109,0.018474102020263672,,1027.52256
110,0.018306732177734375,,1028.99712
111,0.018052101135253906,,1031.077888
112,0.018452882766723633,,1032.454144
113,0.018413066864013672,,1034.944512
114,0.01791214942932129,,1039.958016
115,0.01765894889831543,,1041.301504
116,0.017529726028442383,,1042.612224
117,0.01807117462158203,,1047.494656
118,0.01747894287109375,,1049.329664
119,0.018636703491210938,,1050.86976
120,0.01805591583251953,,1052.246016
121,0.018331050872802734,,1058.340864
122,0.017840862274169922,,1059.6352
123,0.01834893226623535,,1060.962304
124,0.01888585090637207,,1069.416448
125,0.01746511459350586,,1070.77632
126,0.017199039459228516,,1075.658752
127,0.017546892166137695,,1077.018624
128,0.018543004989624023,,1078.345728
129,0.01767897605895996,,1079.656448
130,0.017663955688476562,,1080.983552
131,0.01736283302307129,,1082.294272
132,0.01793503761291504,,1141.751808
133,0.0183260440826416,,1155.989504
134,0.021098852157592773,,1115.09504
135,0.018352985382080078,,1116.913664
