label,final_cost,residual_norm,grad_norm,step_norm,mean_cam_error,median_cam_error,max_cam_error,mean_pt_error,median_pt_error,max_pt_error,total_runtime,total_jacobian_time,peak_memory_mb
Sparse LM,91795.52743037665,428.47526750181663,,,0.6705949869217469,0.652065902281841,1.7712968013540942,0.5784116999579507,0.4098679064568362,14.901064474197259,3.642575740814209,0.0,1447.477248
Robust Cost,230099.28029278497,678.3793633252488,,,0.7260774003549085,0.6838825904838763,1.9455508840401095,0.6511500235344616,0.450653716038244,172.95304449147417,93.34904670715332,0.0,4276.092928
